MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
49,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
67,2022,No,Vis,2,1,Bachelor,(Wirtschafts-)Mathematik
15,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
70,2022,No,Vis,3,1,Bachelor,(Wirtschafts-)Mathematik
69,2022,No,Vis,1.7,1,Master,(Wirtschafts-)Mathematik
59,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
72,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
61,2022,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
56,2022,No,Vis,3.7,1,Bachelor,(Wirtschafts-)Mathematik
57,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
73,2022,No,Vis,5,1,Master,WirtschaftsInformatik
87,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
79,2022,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
65,2022,No,Vis,3.3,1,Master,WirtschaftsInformatik
32,2022,No,Vis,2.3,3,Bachelor,(Wirtschafts-)Mathematik
66,2022,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
75,2022,No,Vis,4,1,Master,WirtschaftsInformatik
67,2022,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
76,2022,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
72,2022,No,Vis,3,1,Master,WirtschaftsInformatik
70,2022,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
61,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
64,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
90,2022,No,Vis,4,1,Master,WirtschaftsInformatik
61,2022,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
61,2022,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
76,2022,No,Vis,2.7,1,Master,(Wirtschafts-)Mathematik
57,2022,No,Vis,3,1,Master,(Wirtschafts-)Mathematik
72,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
52,2022,No,Vis,1,2,Master,WirtschaftsInformatik
82,2022,No,Vis,3,1,Bachelor,(Wirtschafts-)Mathematik
90,2022,No,Vis,2.3,3,Bachelor,WirtschaftsInformatik
54,2022,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
63,2022,No,Vis,2,1,Master,(Wirtschafts-)Mathematik
62,2022,No,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
80,2022,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
72,2022,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
59,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
72,2022,No,Vis,2.7,1,Master,WirtschaftsInformatik
68,2022,No,Vis,1.3,1,Master,WirtschaftsInformatik
15,2022,No,Vis,5,3,Bachelor,(Wirtschafts-)Mathematik
87,2022,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
49,2022,No,Vis,2.7,1,Master,WirtschaftsInformatik
87,2022,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
39,2022,No,Vis,5,1,Bachelor,WirtschaftsInformatik
15,2022,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
60,2022,No,Vis,5,2,Master,WirtschaftsInformatik
79,2022,No,Vis,3,1,Master,(Wirtschafts-)Mathematik
66,2022,No,Vis,4,1,Bachelor,WirtschaftsInformatik
68,2022,No,Vis,2.3,2,Master,WirtschaftsInformatik
54,2022,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
79,2022,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
43,2022,Yes,Vis,2.7,1,Bachelor,WirtschaftsInformatik
58,2022,Yes,Vis,3.3,1,Bachelor,WirtschaftsInformatik
90,2022,Yes,Vis,1.3,1,Bachelor,(Wirtschafts-)Mathematik
15,2022,Yes,Vis,1.3,1,Bachelor,(Wirtschafts-)Mathematik
85,2022,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
72,2022,Yes,Vis,2,1,Master,WirtschaftsInformatik
24,2022,Yes,Vis,1.7,2,Bachelor,(Wirtschafts-)Mathematik
69,2022,Yes,Vis,2,3,Master,WirtschaftsInformatik
72,2022,Yes,Vis,3.7,1,Bachelor,WirtschaftsInformatik
15,2022,Yes,Vis,1.3,3,Master,WirtschaftsInformatik
57,2022,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
78,2022,Yes,Vis,2.3,1,Master,(Wirtschafts-)Mathematik
34,2022,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
85,2022,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
34,2022,Yes,Vis,2,1,Bachelor,WirtschaftsInformatik
88,2022,Yes,Vis,2.7,1,Master,(Wirtschafts-)Mathematik
28,2022,Yes,Vis,1.3,1,Bachelor,WirtschaftsInformatik
83,2022,Yes,Vis,2.7,2,Bachelor,WirtschaftsInformatik
86,2022,Yes,Vis,2.3,1,Bachelor,WirtschaftsInformatik
89,2022,Yes,Vis,1,1,Master,(Wirtschafts-)Mathematik
52,2022,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
72,2022,Yes,Vis,5,2,Bachelor,(Wirtschafts-)Mathematik
86,2022,Yes,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
60,2022,Yes,Vis,5,2,Bachelor,(Wirtschafts-)Mathematik
57,2022,Yes,Vis,3.7,2,Bachelor,WirtschaftsInformatik
89,2022,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
15,2022,Yes,Vis,2.3,1,Master,WirtschaftsInformatik
58,2022,Yes,Vis,1.7,3,Bachelor,WirtschaftsInformatik
90,2022,Yes,Vis,2,2,Bachelor,WirtschaftsInformatik
72,2022,Yes,Vis,3,2,Bachelor,(Wirtschafts-)Mathematik
71,2022,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
85,2022,Yes,Vis,4,1,Bachelor,WirtschaftsInformatik
